time,open,close,high,low,volume
1556906220000,34.0,34.0,34.0,34.0,0.0030600000000000002
1556908500000,34.0,34.0,34.0,34.0,0.00203
1556908860000,34.0,34.0,34.0,34.0,0.03641546
1556913840000,5.02,5.02,5.02,5.02,0.001
1556913960000,6.0,6.0,6.0,6.0,0.00399
1557062760000,37.0,37.0,37.0,37.0,0.0201334
1557550080000,35.0,37.0,37.0,35.0,0.00719242
1557555600000,37.0,37.0,37.0,37.0,0.00267418
1558052220000,34.9,34.9,34.9,34.9,0.0004
1558052280000,33.9,33.9,33.9,33.9,0.0004
1558052460000,33.9,33.9,33.9,33.9,0.0004
1558052520000,23.1,23.1,23.1,23.1,0.0004
1558052580000,23.1,23.1,23.1,23.1,0.0004
1558122000000,33.1,34.7,34.7,33.1,0.003
1558122060000,34.7,43.0,43.0,34.7,0.0015
1558122240000,23.2,23.2,23.2,23.2,0.0004
1558132860000,42.0,43.0,43.0,42.0,0.01148773
1558132980000,23.6,23.6,23.601,23.6,0.0154
1558133040000,23.6,23.6,23.6,23.6,0.00500834
1558133160000,38.023,38.023,38.023,38.023,0.00239731
1558133220000,49.0,49.0,49.0,49.0,0.00782
1558133280000,23.6,23.6,23.6,23.6,0.0004
1558133340000,23.601,24.1,24.1,23.6,0.01428788
1558133400000,38.106,38.106,38.106,38.106,0.00190653
1558133460000,96.0,96.0,96.0,96.0,0.0004
1558133520000,96.0,89.0,96.0,89.0,0.006220000000000001
1558133580000,89.0,93.0,93.0,89.0,0.00451396
1558133640000,23.6,23.6,23.601,23.6,0.0104
1558133700000,38.108000000000004,92.0,92.0,38.108000000000004,0.00800328
1558133760000,170.0,170.0,170.0,170.0,0.0012
1558133820000,25.1,25.6,25.6,25.1,0.004
1558133880000,26.1,168.0,168.0,26.1,0.01249789
1558134000000,26.61,28.1,28.1,26.61,0.0016
1558134060000,28.71,29.2,29.2,28.71,0.0072822
1558134120000,156.0,167.0,167.0,156.0,0.0027
1558134180000,60.0,153.0,167.0,60.0,0.00456126
1558134240000,153.0,140.0,153.0,137.0,0.006584
1558134360000,61.0,61.0,61.0,61.0,0.00405178
1558134420000,31.0,32.0,32.0,31.0,0.0008
1558134480000,33.71,35.71,35.71,33.71,0.01
1558134540000,36.3,36.3,36.3,36.3,0.00301758
1558134600000,110.0,110.0,110.0,110.0,0.0016
1558134660000,110.0,104.0,110.0,104.0,0.0104
1558134720000,90.0,84.0,90.0,84.0,0.0019568
1558135080000,80.0,80.0,80.0,80.0,0.0004
1558135140000,80.0,80.0,80.0,80.0,0.0004
1558135920000,38.2,38.2,38.2,38.2,0.0004
1558135980000,38.2,39.1,39.1,38.2,0.0024
1558136040000,41.1,44.2,44.2,41.1,0.01423586
1558136100000,44.6,42.0,44.6,42.0,0.02932914
1558136160000,36.4,42.0,42.0,36.4,0.0008
1558136340000,76.0,36.7,76.0,36.7,0.0008
1558136400000,38.1,38.1,38.1,38.1,0.0004
1558136460000,39.8,41.8,41.8,39.8,0.0396
1558136520000,43.1,74.0,74.0,43.1,0.00282982
1558136580000,64.0,54.181000000000004,64.0,54.181000000000004,0.0112
1558136760000,37.1,50.0,50.0,37.1,0.00070859
1558138560000,37.4,37.609,37.609,37.4,0.00266
1558139280000,30.6,30.6,65.0,30.6,0.0068000000000000005
1558139340000,30.6,31.1,31.101,30.6,0.0304
1558139400000,32.6,33.8,33.8,32.6,0.03911908
1558139460000,37.766,61.9,61.9,37.766,0.06173014
1558139520000,59.9,36.1,60.0,35.0,0.0226
1558139580000,36.1,37.3,37.3,36.1,0.05678888
1558139640000,58.8,56.4,59.1,56.1,0.07161518
1558139700000,24.5,25.1,25.1,24.5,0.0328
1558139760000,26.1,54.1,55.8,26.1,0.03947195
1558139880000,48.9,45.0,52.0,45.0,0.0014
1558139940000,41.0,38.0,41.0,38.0,0.06965861
1558140420000,47.0,31.1,47.0,28.1,0.07251408999999999
1558140480000,47.0,47.0,47.0,47.0,0.0015984000000000003
1558140540000,44.0,33.0,44.0,33.0,0.07203999999999999
1558140600000,36.1,49.99,52.0,36.1,0.14564112
1558140660000,29.2,32.6,33.3,29.2,0.0728033
1558140900000,29.6,35.8,35.801,29.6,0.029341200000000005
1558140960000,38.004,41.0,45.0,37.0,0.0064
1558141020000,41.0,38.0,41.0,38.0,0.021
1558141740000,28.584,28.584,28.584,28.584,0.0004
1558141800000,40.0,29.8,40.0,28.585,0.03867354
1558141860000,37.7,37.7,37.7,36.9,0.0358
1558141920000,37.7,30.8,37.7,30.8,0.0014
1558142100000,30.801,30.801,30.801,30.801,0.0037433999999999996
1558142220000,30.802,30.803,30.803,30.802,0.00153033
1558143840000,38.041,38.041,38.041,38.041,0.00230351
1558191660000,26.1,26.1,26.1,26.1,0.0022989
1558203300000,30.603,30.601999999999997,30.603,30.601999999999997,0.0045245
1558203480000,30.603,30.601999999999997,30.603,30.601999999999997,0.00452757
1558203840000,30.603,30.603,30.603,30.603,0.00438214
1558204980000,30.601999999999997,30.601999999999997,30.601999999999997,30.601999999999997,0.00091842
1560347760000,30.999000000000002,31.0,31.0,30.999000000000002,0.00529521
1561046760000,34.5,34.5,34.5,34.5,7.92e-05
1561474620000,29.999000000000002,30.0,30.0,29.999000000000002,0.00358297
1562022600000,38.5,38.5,38.5,38.5,0.00029295
1562241660000,38.3,38.3,38.3,38.3,0.00043419
1562277240000,30.0,41.0,41.0,30.0,0.0036490000000000003
1562277300000,41.0,41.0,41.0,30.0,0.01581221
1562277360000,30.0,30.0,42.0,30.0,0.0175383
1562277420000,41.0,30.0,41.0,30.0,0.024028
1562277480000,41.0,30.000999999999998,41.0,30.000999999999998,0.01195
1562278920000,32.001,32.001,32.001,32.001,0.004068
1562361420000,38.0,38.0,38.0,38.0,0.00199
1562361480000,43.0,44.0,44.0,38.0,0.006445
1562361540000,38.0,44.0,44.0,38.0,0.011163
1562361600000,38.0,46.0,46.0,38.0,0.014227000000000002
1562361660000,38.0,38.0,46.0,38.0,0.01089
1562361720000,48.0,48.0,48.0,38.0,0.010856999999999999
1562361780000,38.0,38.0,48.0,38.0,0.010804000000000001
1562361840000,48.0,48.0,48.0,38.0,0.010341
1562361900000,38.0,51.0,51.0,38.0,0.01001
1562361960000,38.0,38.0,38.0,38.0,0.00185
1562362020000,51.0,51.0,51.0,38.0,0.003762
1562362080000,38.0,38.0,38.0,38.0,0.00101
1562363220000,51.0,38.0,51.0,38.0,0.014138
1562363280000,51.0,38.0,51.0,38.0,0.014065000000000001
1562363460000,51.0,54.0,54.0,38.0,0.016349000000000002
1562363520000,38.0,54.0,54.0,38.0,0.00702
1562363580000,38.0,38.0,54.0,38.0,0.004056000000000001
1562363640000,54.0,38.0,54.0,38.0,0.0008269999999999999
1562364120000,54.0,38.0,54.0,38.0,0.0069299999999999995
1562364180000,51.0,38.0,51.0,38.0,0.006920999999999999
1562364300000,40.0,40.0,51.0,40.0,0.036215
1562364360000,51.0,51.0,51.0,40.0,0.021653
1562364420000,40.0,51.0,51.0,40.0,0.014419
1562364480000,40.0,51.0,51.0,40.0,0.028705
1562365020000,40.001,40.001,40.001,40.001,0.0025792
1562365140000,41.0,41.0,41.0,41.0,0.01184
1562365200000,48.0,47.9,48.0,41.0,0.03539
1562365260000,47.0,41.0,47.0,41.0,0.02356
1562365320000,41.0,41.0,46.0,41.0,0.02977
1562365380000,41.0,45.0,46.0,41.0,0.02554
1562365440000,42.0,41.0,45.0,41.0,0.0425
1562365500000,38.0,38.0,38.0,38.0,0.0097676
1562458680000,40.0,49.0,49.7,40.0,0.00373
1562458740000,40.0,40.0,48.985,40.0,0.008797
1562458800000,48.0,41.0,48.0,40.0,0.007463000000000002
1562458860000,47.0,41.0,47.0,41.0,0.016774999999999998
1562458920000,47.0,47.0,47.0,41.0,0.013699000000000001
1562458980000,41.0,47.0,47.0,41.0,0.009101
1562459040000,41.0,41.0,47.0,41.0,0.007999
1562459100000,47.0,40.0,47.0,40.0,0.0050479999999999995
1562459160000,39.0,38.0,39.0,38.0,0.006254399999999999
1562499480000,38.0,38.0,38.0,38.0,0.05292713
1562843280000,45.5,45.5,45.5,45.5,0.0002
1562843340000,45.498999999999995,45.498999999999995,45.498999999999995,45.498999999999995,0.00087047
1562845080000,40.0,40.0,40.0,40.0,0.0002
